Source,Destination,Path,PathDelay,PathCost
4,21,4->3->2->8->12->17->22->21,28,28
4,22,4->5->6->7->8->12->17->22,22,22
4,22,4->3->2->8->14->18->22,29,29
4,23,4->5->6->7->14->18->23,23,23
4,23,4->3->2->8->12->17->23,25,25
5,0,5->6->7->8->0,17,17
5,0,5->4->3->2->1->0,19,19
5,1,5->4->3->2->1,17,17
5,1,5->6->7->8->0->1,19,19
5,2,5->4->3->2,11,11
5,2,5->6->7->8->2,18,18
5,3,5->4->3,4,4
5,3,5->6->7->8->2->3,25,25
5,4,5->4,1,1
5,4,5->6->7->8->2->3->4,28,28
5,6,5->6,3,3
5,6,5->4->3->2->8->7->6,26,26
5,7,5->6->7,7,7
5,7,5->4->3->2->8->7,22,22
5,8,5->6->7->8,13,13
5,8,5->4->3->2->8,16,16
5,9,5->6->7->8->12->9,18,18
5,9,5->4->3->2->1->0->9,24,24
5,10,5->6->7->8->12->9->10,25,25
5,10,5->4->3->2->8->11->10,32,32
5,11,5->6->7->8->12->11,21,21
5,11,5->4->3->2->8->11,26,26
5,12,5->6->7->8->12,15,15
5,12,5->4->3->2->1->0->9->12,27,27
5,13,5->6->7->13,14,14
5,13,5->4->3->2->8->12->13,22,22
5,14,5->6->7->14,15,15
5,14,5->4->3->2->8->14,22,22
5,15,5->6->7->8->12->17->15,26,26
5,15,5->4->3->2->8->14->18->15,35,35
5,16,5->6->7->8->12->17->16,21,21
5,16,5->4->3->2->8->14->18->23->16,33,33
5,17,5->6->7->8->12->17,18,18
5,17,5->4->3->2->8->14->17,28,28
5,18,5->6->7->14->18,21,21
5,18,5->4->3->2->8->12->17->22->18,26,26
5,19,5->6->7->13->19,19,19
5,19,5->4->3->2->8->12->17->22->18->19,31,31
5,20,5->6->7->13->19->20,21,21
5,20,5->4->3->2->8->12->17->22->18->21->20,32,32
5,21,5->6->7->14->18->21,22,22
5,21,5->4->3->2->8->12->17->22->21,29,29
5,22,5->6->7->8->12->17->22,21,21
5,22,5->4->3->2->8->14->18->22,30,30
5,23,5->6->7->14->18->23,22,22
5,23,5->4->3->2->8->12->17->23,26,26
6,0,6->7->8->0,14,14
6,0,6->5->4->3->2->1->0,22,22
6,1,6->7->8->0->1,16,16
6,1,6->5->4->3->2->1,20,20
6,2,6->5->4->3->2,14,14
6,2,6->7->8->2,15,15
6,3,6->5->4->3,7,7
6,3,6->7->8->2->3,22,22
6,4,6->5->4,4,4
6,4,6->7->8->2->3->4,25,25
6,5,6->5,3,3
6,5,6->7->8->2->3->4->5,26,26
6,7,6->7,4,4
6,7,6->5->4->3->2->8->7,25,25
6,8,6->7->8,10,10
6,8,6->5->4->3->2->8,19,19
6,9,6->7->8->12->9,15,15
6,9,6->5->4->3->2->1->0->9,27,27
6,10,6->7->8->12->9->10,22,22
6,10,6->5->4->3->2->8->11->10,35,35
6,11,6->7->8->12->11,18,18
6,11,6->5->4->3->2->8->11,29,29
6,12,6->7->8->12,12,12
6,12,6->5->4->3->2->1->0->9->12,30,30
6,13,6->7->13,11,11
6,13,6->5->4->3->2->8->12->13,25,25
6,14,6->7->14,12,12
6,14,6->5->4->3->2->8->14,25,25
6,15,6->7->8->12->17->15,23,23
6,15,6->5->4->3->2->8->14->18->15,38,38
6,16,6->7->8->12->17->16,18,18
6,16,6->5->4->3->2->8->14->18->23->16,36,36
6,17,6->7->8->12->17,15,15
6,17,6->5->4->3->2->8->14->17,31,31
6,18,6->7->14->18,18,18
6,18,6->5->4->3->2->8->12->17->22->18,29,29
6,19,6->7->13->19,16,16
6,19,6->5->4->3->2->8->12->17->22->18->19,34,34
6,20,6->7->13->19->20,18,18
6,20,6->5->4->3->2->8->12->17->22->18->21->20,35,35
6,21,6->7->14->18->21,19,19
6,21,6->5->4->3->2->8->12->17->22->21,32,32
6,22,6->7->8->12->17->22,18,18
6,22,6->5->4->3->2->8->14->18->22,33,33
6,23,6->7->14->18->23,19,19
6,23,6->5->4->3->2->8->12->17->23,29,29
7,0,7->8->0,10,10
7,0,7->13->12->9->0,19,19
7,1,7->8->0->1,12,12
7,1,7->13->12->8->2->1,24,24
7,2,7->8->2,11,11
7,2,7->6->5->4->3->2,18,18
7,3,7->6->5->4->3,11,11
7,3,7->8->2->3,18,18
7,4,7->6->5->4,8,8
7,4,7->8->2->3->4,21,21
7,5,7->6->5,7,7
7,5,7->8->2->3->4->5,22,22
7,6,7->6,4,4
7,6,7->8->2->3->4->5->6,25,25
7,8,7->8,6,6
7,8,7->13->12->8,13,13
7,9,7->8->12->9,11,11
7,9,7->13->12->8->9,22,22
7,10,7->8->12->9->10,18,18
7,10,7->13->12->11->10,23,23
7,11,7->8->12->11,14,14
7,11,7->14->17->11,21,21
7,12,7->8->12,8,8
7,12,7->13->12,11,11
7,13,7->13,7,7
7,13,7->14->13,10,10
7,14,7->14,8,8
7,14,7->13->14,9,9
